numero,tamanho_chars
1,528
2,558
3,1335
4,3668
5,6163
6,2090
7,3735
8,1304
9,1628
10,1091
11,4287
12,943
13,1433
14,1913
15,559
16,621
17,188
18,3053
19,1269
20,339
20,390
20,974
21,126
22,326
23,2348
24,545
25,293
26,2272
27,218
27,258
27,667
28,18
29,345
29,435
29,425
30,180
31,207
32,306
33,2109
34,726
35,1542
36,336
37,172
38,626
39,184
40,320
41,1172
42,1514
43,395
44,637
45,272
46,830
47,231
48,1381
49,312
50,2837
51,211
52,5680
53,804
54,906
55,18
55,233
55,117
55,815
55,1286
55,791
55,381
55,431
55,208
55,240
55,5167
55,763
55,1343
55,273
55,268
55,432
55,218
55,1174
55,1409
55,829
55,375
55,524
55,199
55,230
55,7973
55,668
55,1256
55,370
55,326
56,18
5,100
58,18
58,2532
58,1077
58,2785
58,1016
59,67
60,140
7,552
16,380
61,332
62,577
62,511
63,237
64,222
65,96
65,527
65,1323
